Año,Precio al Cierre de 12 Meses,-------,Valor de Inversión (USD),Unidades Compradas,Valor Cripto,ROI,ROI en USD,------,Valor de Inversión (USD)2,Unidades Compradas2,Valor Cripto2,ROI2,ROI en USD2,Cryptocurrency
2013,755.16,,9000,56.71,42825.12,375.83,33825.12,,9000,56.71,42825.12,375.83,33825.12,Bitcoin
2014,317.38,,12000,25.75,8172.54,-31.9,-3827.46,,0,0.0,0.0,0.0,0.0,Bitcoin
2015,431.14,,12000,45.31,19534.95,62.79,7534.95,,24000,71.06,30636.81,27.65,6636.81,Bitcoin
2016,966.57,,12000,21.84,21109.89,75.92,9109.89,,12000,21.84,21109.89,75.92,9109.89,Bitcoin
2017,14839.59,,12000,5.49,81469.35,578.91,69469.35,,12000,5.49,81469.35,578.91,69469.35,Bitcoin
2018,3809.73,,12000,1.8,6857.51,-42.85,-5142.49,,0,0.0,0.0,0.0,0.0,Bitcoin
2019,7240.43,,12000,1.88,13612.01,13.43,1612.01,,24000,3.6799999999999997,26644.78,11.02,2644.78,Bitcoin
2020,28837.29,,12000,1.13,32586.14,171.55,20586.14,,12000,1.13,32586.14,171.55,20586.14,Bitcoin
2021,47191.87,,12000,0.27,12741.8,6.18,741.8,,12000,0.27,12741.8,6.18,741.8,Bitcoin
2022,16604.02,,12000,0.5,8302.01,-30.82,-3697.99,,0,0.0,0.0,0.0,0.0,Bitcoin
2023,29585.49,,8000,0.28,8283.94,3.55,283.94,,20000,0.78,23076.68,15.38,3076.68,Bitcoin
