,Bitcoin,Ethereum,Binance Coin,Aave,Solana,Polkadot,Chainlink,Avalanche,Algorand,Polygon
Bitcoin,1.0,0.54,0.09,0.59,0.47,0.64,0.44,0.55,0.54,0.28
Ethereum,0.54,1.0,0.09,0.72,0.57,0.7,0.53,0.59,0.59,0.3
Binance Coin,0.09,0.09,1.0,0.5,0.49,0.57,0.42,0.54,0.51,0.29
Aave,0.59,0.72,0.5,1.0,0.58,0.64,0.68,0.56,0.57,0.51
Solana,0.47,0.57,0.49,0.58,1.0,0.52,0.52,0.54,0.48,0.37
Polkadot,0.64,0.7,0.57,0.64,0.52,1.0,0.7,0.6,0.61,0.46
Chainlink,0.44,0.53,0.42,0.68,0.52,0.7,1.0,0.58,0.57,0.27
Avalanche,0.55,0.59,0.54,0.56,0.54,0.6,0.58,1.0,0.54,0.47
Algorand,0.54,0.59,0.51,0.57,0.48,0.61,0.57,0.54,1.0,0.24
Polygon,0.28,0.3,0.29,0.51,0.37,0.46,0.27,0.47,0.24,1.0
